Fusion Strategy,F1-Macro,AUC-ROC,Model
Early Fusion (concat -> LightGBM),0.9054 ± 0.0195,0.9602 ± 0.0336,LightGBM (tuned)
Late Fusion (per-omics -> soft vote),0.9247,0.9839,XGBoost x 4 (one per omics)
