Model,accuracy,f1_weighted,f1_macro,precision,recall,roc_auc,mcc
RF,0.9079 ± 0.0289,0.8927 ± 0.0380,0.7752 ± 0.0835,0.9080 ± 0.0319,0.9079 ± 0.0289,0.8965 ± 0.0664,0.6051 ± 0.1390
SVM,0.8640 ± 0.0286,0.8158 ± 0.0485,0.5804 ± 0.1213,0.8421 ± 0.0760,0.8640 ± 0.0286,0.8891 ± 0.0561,0.2878 ± 0.2175
XGB,0.9378 ± 0.0200,0.9344 ± 0.0238,0.8720 ± 0.0499,0.9372 ± 0.0216,0.9378 ± 0.0200,0.9281 ± 0.0497,0.7554 ± 0.0885
