Model,accuracy,f1_weighted,f1_macro,precision,recall,roc_auc,mcc
RF,0.8865 ± 0.0298,0.8742 ± 0.0370,0.7745 ± 0.0715,0.8796 ± 0.0382,0.8865 ± 0.0298,0.9111 ± 0.0325,0.5779 ± 0.1323
SVM,0.8936 ± 0.0330,0.8852 ± 0.0358,0.7978 ± 0.0635,0.8884 ± 0.0399,0.8936 ± 0.0330,0.9049 ± 0.0497,0.6148 ± 0.1290
XGB,0.9220 ± 0.0233,0.9217 ± 0.0213,0.8703 ± 0.0321,0.9234 ± 0.0189,0.9220 ± 0.0233,0.9348 ± 0.0246,0.7440 ± 0.0632
